rs1: 23, re1: 72, rs2: 23, re2: 72
rs1: 53, re1: 62, rs2: 8, re2: 87
rs1: 21, re1: 52, rs2: 36, re2: 51
rs1: 67, re1: 73, rs2: 45, re2: 73
rs1: 35, re1: 99, rs2: 36, re2: 97
rs1: 1, re1: 92, rs2: 5, re2: 92
rs1: 6, re1: 40, rs2: 4, re2: 40
rs1: 24, re1: 38, rs2: 23, re2: 39
rs1: 5, re1: 88, rs2: 5, re2: 87
rs1: 12, re1: 97, rs2: 12, re2: 96
rs1: 19, re1: 37, rs2: 18, re2: 37
rs1: 14, re1: 39, rs2: 14, re2: 85
rs1: 30, re1: 92, rs2: 31, re2: 92
rs1: 4, re1: 69, rs2: 4, re2: 70
rs1: 29, re1: 37, rs2: 29, re2: 42
rs1: 12, re1: 77, rs2: 11, re2: 79
rs1: 32, re1: 63, rs2: 32, re2: 55
rs1: 3, re1: 83, rs2: 2, re2: 83
rs1: 97, re1: 97, rs2: 8, re2: 97
rs1: 39, re1: 96, rs2: 39, re2: 84
rs1: 37, re1: 43, rs2: 14, re2: 43
rs1: 53, re1: 68, rs2: 53, re2: 77
rs1: 5, re1: 98, rs2: 5, re2: 7
rs1: 45, re1: 68, rs2: 45, re2: 68
rs1: 7, re1: 89, rs2: 25, re2: 88
rs1: 24, re1: 89, rs2: 24, re2: 25
rs1: 74, re1: 97, rs2: 2, re2: 98
rs1: 33, re1: 48, rs2: 6, re2: 94
rs1: 14, re1: 20, rs2: 14, re2: 35
rs1: 10, re1: 75, rs2: 10, re2: 50
rs1: 51, re1: 77, rs2: 55, re2: 77
rs1: 39, re1: 40, rs2: 39, re2: 58
rs1: 90, re1: 90, rs2: 21, re2: 90
rs1: 12, re1: 75, rs2: 10, re2: 76
rs1: 1, re1: 72, rs2: 3, re2: 71
rs1: 73, re1: 86, rs2: 73, re2: 93
rs1: 96, re1: 97, rs2: 82, re2: 97
rs1: 58, re1: 59, rs2: 37, re2: 59
rs1: 44, re1: 83, rs2: 46, re2: 83
rs1: 43, re1: 98, rs2: 73, re2: 97
rs1: 59, re1: 63, rs2: 59, re2: 92
rs1: 47, re1: 47, rs2: 24, re2: 47
rs1: 64, re1: 84, rs2: 64, re2: 70
rs1: 60, re1: 72, rs2: 61, re2: 72
rs1: 12, re1: 41, rs2: 41, re2: 41
rs1: 75, re1: 98, rs2: 97, re2: 98
rs1: 66, re1: 80, rs2: 7, re2: 80
rs1: 7, re1: 91, rs2: 8, re2: 82
rs1: 85, re1: 97, rs2: 85, re2: 99
rs1: 23, re1: 59, rs2: 23, re2: 48
rs1: 55, re1: 69, rs2: 54, re2: 77
rs1: 43, re1: 44, rs2: 43, re2: 92
rs1: 96, re1: 96, rs2: 10, re2: 96
rs1: 5, re1: 93, rs2: 2, re2: 93
rs1: 49, re1: 95, rs2: 73, re2: 95
rs1: 43, re1: 81, rs2: 43, re2: 80
rs1: 15, re1: 50, rs2: 15, re2: 50
rs1: 57, re1: 87, rs2: 57, re2: 86
rs1: 51, re1: 98, rs2: 52, re2: 88
rs1: 9, re1: 97, rs2: 95, re2: 97
rs1: 6, re1: 7, rs2: 6, re2: 98
rs1: 7, re1: 98, rs2: 6, re2: 99
rs1: 65, re1: 76, rs2: 66, re2: 70
rs1: 2, re1: 88, rs2: 2, re2: 98
rs1: 7, re1: 79, rs2: 79, re2: 79
rs1: 25, re1: 50, rs2: 25, re2: 59
rs1: 90, re1: 95, rs2: 56, re2: 95
rs1: 32, re1: 64, rs2: 64, re2: 64
rs1: 10, re1: 41, rs2: 11, re2: 28
rs1: 34, re1: 88, rs2: 35, re2: 35
rs1: 1, re1: 54, rs2: 6, re2: 53
rs1: 23, re1: 97, rs2: 97, re2: 97
rs1: 30, re1: 84, rs2: 31, re2: 83
rs1: 11, re1: 87, rs2: 11, re2: 60
rs1: 3, re1: 20, rs2: 3, re2: 19
rs1: 8, re1: 12, rs2: 10, re2: 10
rs1: 8, re1: 49, rs2: 8, re2: 87
rs1: 8, re1: 25, rs2: 7, re2: 25
rs1: 37, re1: 61, rs2: 38, re2: 61
